Date;Counts
2026-01-27 15:57:00;90,963
2026-01-27 15:58:00;89,929
2026-01-27 15:59:00;92,493
2026-01-27 16:00:00;90,454
2026-01-27 16:01:00;91,751
2026-01-27 16:02:00;91,945
2026-01-27 16:03:00;94,070
2026-01-27 16:04:00;88,337
2026-01-27 16:05:00;91,620
2026-01-27 16:06:00;89,807
2026-01-27 16:07:00;89,795
2026-01-27 16:08:00;96,486
2026-01-27 16:09:00;93,254
2026-01-27 16:10:00;93,738
2026-01-27 16:11:00;88,302
2026-01-27 16:12:00;85,638
2026-01-27 16:13:00;89,509
2026-01-27 16:14:00;92,026
2026-01-27 16:15:00;93,311
2026-01-27 16:16:00;99,345
2026-01-27 16:17:00;91,519
2026-01-27 16:18:00;88,410
2026-01-27 16:19:00;92,378
2026-01-27 16:20:00;92,221
2026-01-27 16:21:00;93,075
2026-01-27 16:22:00;92,156
2026-01-27 16:23:00;92,042
2026-01-27 16:24:00;91,873
2026-01-27 16:25:00;91,561
2026-01-27 16:26:00;88,561
2026-01-27 16:27:00;89,544
2026-01-27 16:28:00;93,082
2026-01-27 16:29:00;91,198
2026-01-27 16:30:00;91,660
2026-01-27 16:31:00;93,519
2026-01-27 16:32:00;92,184
2026-01-27 16:33:00;89,055
2026-01-27 16:34:00;89,659
2026-01-27 16:35:00;94,032
2026-01-27 16:36:00;92,483
2026-01-27 16:37:00;87,366
2026-01-27 16:38:00;92,197
2026-01-27 16:39:00;93,032
2026-01-27 16:40:00;92,616
2026-01-27 16:41:00;93,981
2026-01-27 16:42:00;89,609
2026-01-27 16:43:00;91,171
2026-01-27 16:44:00;89,860
2026-01-27 16:45:00;93,021
2026-01-27 16:46:00;86,860
2026-01-27 16:47:00;92,504
2026-01-27 16:48:00;92,115
2026-01-27 16:49:00;90,291
2026-01-27 16:50:00;90,614
2026-01-27 16:51:00;89,893
2026-01-27 16:52:00;90,222
2026-01-27 16:53:00;92,927
2026-01-27 16:54:00;90,243
2026-01-27 16:55:00;86,569
2026-01-27 16:56:00;91,030
2026-01-27 16:57:00;89,803
2026-01-27 16:58:00;88,620
2026-01-27 16:59:00;91,849
2026-01-27 17:00:00;91,336
2026-01-27 17:01:00;91,050
2026-01-27 17:02:00;91,496
2026-01-27 17:03:00;95,338
2026-01-27 17:04:00;89,685
2026-01-27 17:05:00;92,451
2026-01-27 17:06:00;90,204
2026-01-27 17:07:00;92,428
2026-01-27 17:08:00;88,990
2026-01-27 17:09:00;91,305
2026-01-27 17:10:00;89,933
2026-01-27 17:11:00;89,786
2026-01-27 17:12:00;93,049
2026-01-27 17:13:00;89,016
2026-01-27 17:14:00;87,929
2026-01-27 17:15:00;88,320
2026-01-27 17:16:00;90,954
2026-01-27 17:17:00;91,518
2026-01-27 17:18:00;92,533
2026-01-27 17:19:00;93,058
2026-01-27 17:20:00;91,816
2026-01-27 17:21:00;93,044
2026-01-27 17:22:00;91,119
2026-01-27 17:23:00;90,636
2026-01-27 17:24:00;91,754
2026-01-27 17:25:00;91,633
2026-01-27 17:26:00;89,861
2026-01-27 17:27:00;89,501
2026-01-27 17:28:00;89,710
2026-01-27 17:29:00;87,619
2026-01-27 17:30:00;89,930
2026-01-27 17:31:00;92,558
2026-01-27 17:32:00;89,814
2026-01-27 17:33:00;88,794
2026-01-27 17:34:00;89,938
2026-01-27 17:35:00;90,201
2026-01-27 17:36:00;93,491
2026-01-27 17:37:00;92,794
2026-01-27 17:38:00;91,554
2026-01-27 17:39:00;88,277
2026-01-27 17:40:00;89,262
2026-01-27 17:41:00;91,709
2026-01-27 17:42:00;91,558
2026-01-27 17:43:00;88,848
2026-01-27 17:44:00;89,816
2026-01-27 17:45:00;91,181
2026-01-27 17:46:00;91,929
2026-01-27 17:47:00;92,445
2026-01-27 17:48:00;91,198
2026-01-27 17:49:00;90,316
2026-01-27 17:50:00;89,251
2026-01-27 17:51:00;91,088
2026-01-27 17:52:00;89,575
2026-01-27 17:53:00;94,001
2026-01-27 17:54:00;93,230
2026-01-27 17:55:00;87,683
2026-01-27 17:56:00;93,113
2026-01-27 17:57:00;90,579
2026-01-27 17:58:00;89,599
2026-01-27 17:59:00;89,721
2026-01-27 18:00:00;92,284
2026-01-27 18:01:00;92,516
2026-01-27 18:02:00;90,857
2026-01-27 18:03:00;89,737
2026-01-27 18:04:00;93,629
2026-01-27 18:05:00;91,665
2026-01-27 18:06:00;91,341
2026-01-27 18:07:00;93,400
2026-01-27 18:08:00;92,452
2026-01-27 18:09:00;95,324
2026-01-27 18:10:00;93,237
2026-01-27 18:11:00;95,345
2026-01-27 18:12:00;88,028
2026-01-27 18:13:00;91,239
2026-01-27 18:14:00;92,617
2026-01-27 18:15:00;90,497
2026-01-27 18:16:00;93,988
2026-01-27 18:17:00;94,179
2026-01-27 18:18:00;95,141
2026-01-27 18:19:00;94,285
2026-01-27 18:20:00;91,608
2026-01-27 18:21:00;93,993
2026-01-27 18:22:00;90,066
2026-01-27 18:23:00;95,269
2026-01-27 18:24:00;93,136
2026-01-27 18:25:00;91,702
2026-01-27 18:26:00;91,585
2026-01-27 18:27:00;90,820
2026-01-27 18:28:00;91,054
2026-01-27 18:29:00;90,014
2026-01-27 18:30:00;87,005
2026-01-27 18:31:00;89,950
2026-01-27 18:32:00;94,203
2026-01-27 18:33:00;89,995
2026-01-27 18:34:00;90,032
2026-01-27 18:35:00;92,186
2026-01-27 18:36:00;91,597
2026-01-27 18:37:00;89,726
2026-01-27 18:38:00;88,757
2026-01-27 18:39:00;93,691
2026-01-27 18:40:00;89,953
2026-01-27 18:41:00;90,941
2026-01-27 18:42:00;94,880
2026-01-27 18:43:00;91,401
2026-01-27 18:44:00;93,955
2026-01-27 18:45:00;90,772
2026-01-27 18:46:00;93,879
2026-01-27 18:47:00;92,615
2026-01-27 18:48:00;91,473
2026-01-27 18:49:00;91,333
2026-01-27 18:50:00;91,137
2026-01-27 18:51:00;90,160
2026-01-27 18:52:00;89,485
2026-01-27 18:53:00;91,961
2026-01-27 18:54:00;90,832
2026-01-27 18:55:00;95,103
2026-01-27 18:56:00;90,509
2026-01-27 18:57:00;90,656
2026-01-27 18:58:00;94,350
2026-01-27 18:59:00;92,304
2026-01-27 19:00:00;91,234
2026-01-27 19:01:00;88,704
2026-01-27 19:02:00;90,333
2026-01-27 19:03:00;93,304
2026-01-27 19:04:00;91,713
2026-01-27 19:05:00;88,868
2026-01-27 19:06:00;91,995
2026-01-27 19:07:00;92,200
2026-01-27 19:08:00;91,094
2026-01-27 19:09:00;90,868
2026-01-27 19:10:00;90,000
2026-01-27 19:11:00;91,743
2026-01-27 19:12:00;89,353
2026-01-27 19:13:00;89,674
2026-01-27 19:14:00;97,764
2026-01-27 19:15:00;91,835
2026-01-27 19:16:00;93,276
2026-01-27 19:17:00;91,964
2026-01-27 19:18:00;90,320
2026-01-27 19:19:00;87,106
2026-01-27 19:20:00;88,566
2026-01-27 19:21:00;91,219
2026-01-27 19:22:00;91,803
2026-01-27 19:23:00;90,750
2026-01-27 19:24:00;90,055
2026-01-27 19:25:00;90,948
2026-01-27 19:26:00;88,283
2026-01-27 19:27:00;90,260
2026-01-27 19:28:00;94,102
2026-01-27 19:29:00;92,045
2026-01-27 19:30:00;92,008
2026-01-27 19:31:00;91,394
2026-01-27 19:32:00;86,332
2026-01-27 19:33:00;88,889
2026-01-27 19:34:00;89,942
2026-01-27 19:35:00;92,079
2026-01-27 19:36:00;87,681
2026-01-27 19:37:00;91,118
2026-01-27 19:38:00;95,701
2026-01-27 19:39:00;95,338
2026-01-27 19:40:00;86,573
2026-01-27 19:41:00;89,063
2026-01-27 19:42:00;92,349
